City,Attraction,Summarised Review
Jaipur_Jaipur_District_Rajasthan,Amber_Palace-Amer,"the traffic during peak season makes it difficult to get some good pictures on the fort . inside Amber fort, you can feel the essence of Rajasthani tradition by riding over big elephants ."
Jaipur_Jaipur_District_Rajasthan,Jantar_Mantar_Jaipur,"cnn's john defterios visited the astronomical observatory in jaipur, india . he visited the world's largest stone sundial and the 'calculating machine' the observatory was completed in 1734 and is a UNE"
Jaipur_Jaipur_District_Rajasthan,Hawa_Mahal_Palace_of_Wind,hawa mahal is not just a wall of jharokhas but more than that . entry ticket is rs 50 for Indian adult...you can go to various towers but the stairs are very narrow .
Jaipur_Jaipur_District_Rajasthan,City_Palace_of_Jaipur,"the city palace is a beautiful palace worth paying the little extra, take a guide and visit the inside portions of the palace . the main palace is closed to regular visitors but you can see some photos of the family ."
Jaipur_Jaipur_District_Rajasthan,Sheesh_Mahal_Hall_of_Mirrors-Amer,sheesh mahal is one of the most beautiful rooms in the palace and a great photo opportunity . the work done by the workers in the past is really amazing . if someone focus light on this place it become illuminated and looks beautiful .
Jaipur_Jaipur_District_Rajasthan,Birla_Mandir_Temple,"a giant temple for several godess, hundred of tourists with typical clothes from india and inside a lot of paintings and glass decoration . Located in centre of city, beautiful temple having some great artistic impression all around ."
Jaipur_Jaipur_District_Rajasthan,EleSafari-Amer,i am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority . the staff are also very kind and helpful .
Jaipur_Jaipur_District_Rajasthan,Elefriend-Amer,we have been amazing time at elefriend with the team and elephant shabbo at the village we are so thankful for the team we will highly recommend to everyone we sure wants to visit again .
Jaipur_Jaipur_District_Rajasthan,Nahargarh_Fort,"Nahargarh fort is a good experience to visit, there only you can see the wall and some temples and doors  historical, rest of the items they only build and just to make money from tourists like wax museum sheesh mahal ."
Jaipur_Jaipur_District_Rajasthan,Elefun-Amer,we are so thank full for you to make us more better with one of your excellent review of your time with us .
Jaipur_Jaipur_District_Rajasthan,EleJungle-Amer,i have passed on your generous appreciation to all my staff & family members . it has been a great source of encouragement to continue in their efforts to exceed guest expectations .
Jaipur_Jaipur_District_Rajasthan,Mukesh_Art_Gallery,beautiful gallery that's treat to the eyes all 5 floor flooded with paintings n art pieces that are rare master pieces . owner and staff are excellent and showed us so many varieties of paintings for our house .
Jaipur_Jaipur_District_Rajasthan,Albert_Hall_Museum,the oldest museum of jaipur is a must-visit place in the city . the museum boasts of a sprinkling of antiques from around the world .
Jaipur_Jaipur_District_Rajasthan,Jaigarh_Fort,jaigarh fort was built in 1726 AD by Sawan Jai Singh II and sits at several hundred feet above the sea level . it was built to restrain any attacking army from reaching its ramparts .
Jaipur_Jaipur_District_Rajasthan,Rajasthan_Small_Scale_Cottage_Industry-Amer,shop has a vast collection of so many items under one roof . we went to many places in the country but never have we seen a shop so big .
Jaipur_Jaipur_District_Rajasthan,Anokhi_Museum_of_Hand_Printing,a museum in the area near the Amber Fort offers a hands-on chance to try block printing . the museum is a local company that employs hundreds of workers in the production of fabrics printed by this traditional technique .
Jaipur_Jaipur_District_Rajasthan,Jal_Mahal,Located in between jaipur to amber front you can get down and take a glimpse of the Jal Mahal .
Jaipur_Jaipur_District_Rajasthan,Monkey_Temple,"the monkey temple is built into the abode of a mountain in jaipur, india . it is home to hundreds of monkeys, some of whom are known as 'indian jones' ."
Jaipur_Jaipur_District_Rajasthan,Govind_Devji_Temple,i have visited several temples across india but this one is really close to heart . the temples are so beautiful & magnificent and see how people truly believe in god .
Jaipur_Jaipur_District_Rajasthan,Eleday-Amer,our elephants are fit and in very good condition There are some rescued elephants . don't mind you are a good example of a person who just wants to enjoy everything . we called your parents one day before and explained all situations .
Jaipur_Jaipur_District_Rajasthan,Panna_Meena_ka_Kund,the temple is 400 years old anther stowell . it is very beautiful but no one is allowed to step in .
Jaipur_Jaipur_District_Rajasthan,Dera_Amer_Wilderness_Camp-Amer,"our elephants namely Laxmi,Rangmala and Anarkali have the most peaceful existence at our camp . the photographs are posted on our website for any guest to recognise them ."
Jaipur_Jaipur_District_Rajasthan,Moti_Dungari_Temple,the main ganesh ji temple of jaipur is very old and very famous . the temple is quite famous & is a must visit during your trip to Jaipur .
Jaipur_Jaipur_District_Rajasthan,Akshardham_Temple,i always love to visit this place in evening when ever i get time . well maintained park and clean temple .
Jaipur_Jaipur_District_Rajasthan,Ele_Experience_Farm,the elephants are rescued from the hardships of a circus amer fort sawari is etc the team of Ali experience farm to take a lot of care of these elephants and infect are doing a kind of social work which is very appreciated we allow the experience and
Jaipur_Jaipur_District_Rajasthan,World_Trade_Park,world trade park is a modern shopping mall with lots of shops and restaurants . the food court is in demand and the escalators were not working . it's a good place to hangout with friends or family and try things .
Jaipur_Jaipur_District_Rajasthan,Rusirani_Village,"most of the money is for a great cause: for the solar panels that they are installing and for the family of a young girl of the village, so she can go to school . make sure you contact them early since its not a tourist spot ."
Jaipur_Jaipur_District_Rajasthan,Royal_Gaitor_Tumbas,not many tourists go which is a shame but equally what makes this place worth the visit as it’s so peaceful and not at all crowded . the founder of jaipur is buried here and the marble carvings are gorgeous .
Jaipur_Jaipur_District_Rajasthan,Patrika_Gate,Patrika gate is one of the most beautiful locations of jaipur . it is a big gate with beautiful architecture and this location is for all kind of age group pepole to enjoy a good evening .
Jaipur_Jaipur_District_Rajasthan,Jawahar_Kala_Kendra,"the india coffee house is a weekend gateway for family and friends . the cafe has a theater, an open theater, huge open space for fest and dedicated indoor space for photo and art galleries ."
Jaipur_Jaipur_District_Rajasthan,Gatore_Ki_Chhatriyan,"a must see location of jaipur, my tour guide surprised me with his favourite location at the end of the day . the city palace is a gem , very nice temples and well preserved garden, which is almost never the case in India."
Jaipur_Jaipur_District_Rajasthan,Diwan_e_Khas_Hall_of_Private_Audience,the Diwan-e-Khas is located within the City Palace compound and this was the place where the King used to grant audiences to other people .
Jaipur_Jaipur_District_Rajasthan,Khole_Ke_Hanuman_JI_Temple_Jaipur,one of my friends parents had their retirement function at the temple premise . kholay k hanuman ji temple is on a high hill .
Jaipur_Jaipur_District_Rajasthan,Galtaji_Temple,"astronomical instruments choked in trees and undergrowth near a pile of cow dung . a much larger similar observatory site, . Jantar Mantar, down in Jaipur got all the restoration money ."
Jaipur_Jaipur_District_Rajasthan,Jaipur_Wax_Museum,we ensure you that you will not find any museum better than Jaipur Wax Museum in the world .
Jaipur_Jaipur_District_Rajasthan,Ganesh_Pol_Gateway,the entrance to the Amber fort is decorated with beautiful frescos and is one of the places people pause to have their photographs taken . a big bunch of garbage next to it was probably what the main reason why it's not an excellent place .
Jaipur_Jaipur_District_Rajasthan,Central_Park,"a good garden must serve different functions- providing green patch to city or colony, track for walking or jogging, space for yoga and space for sitting leisurely even on a sunny day ."
Jaipur_Jaipur_District_Rajasthan,Gyan_Museum,the museum is located in the middle of Sitapura . it has some amazing art effect and a great place to go for learning .
Jaipur_Jaipur_District_Rajasthan,Jawahar_Circle_Garden,the Patrika Gate is the largest circular park in jaipur . the garden is clean and you can eat there as there are so many street food stalls are there .
Jaipur_Jaipur_District_Rajasthan,Jewels_Lake_Palace_Jaipur,"i met many merchants in india trying to sell their products on false informations about it and even overcharging them . so, it worth to make a stop at that Palace of Jewels ."
Jaipur_Jaipur_District_Rajasthan,My_Elephant_Trip-Amer,the village is big there some more people's or if they do chairs on thim or you watch so these elephant s Not belong to us . so plz don't journalise you are very good and nice person box you did this thing to help the elephant
Jaipur_Jaipur_District_Rajasthan,Shila_Devi_Temple,temple is located inside the amber fort and dedicated to Kul Devi of Jaipur royal dynasty .
Jaipur_Jaipur_District_Rajasthan,Jaivana,jaivana is believed to be the biggest cannon in the world . it was only tested and not used in its time . you won't need more than 45 minutes to see the entire fort .
Jaipur_Jaipur_District_Rajasthan,B_M_Birla_Auditorium,BM Birla Auditorium is one of the finest auditoriums i have ever visited . centrally located with ample parking space for the vehicles to be parked . seats are excellent with comfortable chairs .
Jaipur_Jaipur_District_Rajasthan,Jagat_Shiromani_Ji_Temple,this is a very beautiful temple architecture is marvellous located at the foothills of amer fort . entry is free just pay 30rupees to the keeper as donation he will issue u a receipt .
Jaipur_Jaipur_District_Rajasthan,Maharaja_Sawai_Man_Singh_II_Museum,"a lovely walk through the museum as part of the palace compound . there are some lovely artefacts on display as well as some interesting story boards . also adjacent to the museum is a ""garage"" which displays several vintage carriages ."
Jaipur_Jaipur_District_Rajasthan,The_Vedic_Astrology_Experience,if it is sunny you can tell the time with the sun dials and check against your watch (adjusting for the local time difference caused by Indian Standard Time) .
