City,Attraction,Summarised Review,Compound Sentiment,Normalised Sentiment
Lucknow_Lucknow_District_Uttar_Pradesh,Bara_Imambara,one of the best structures in Lucknow if you love monuments must see . the labyrinth 'Bhool Bhulaiya' is a must see with a guide .,0.8555,5
Lucknow_Lucknow_District_Uttar_Pradesh,Janeshwar_Mishra_Park,this park is Asia's largest park.you have to give whole day for complete tour of the park . best time morning and evening for walk purpose otherwise you can enjoy with family boating not working may be some issue .,0.8126,5
Lucknow_Lucknow_District_Uttar_Pradesh,Hazratganj,hazratganj is a place where you can meet entire community people and normally people come to enjoy their weekends or for shopping . make this your first shopping stop if pressed for time .,0.25,4
Lucknow_Lucknow_District_Uttar_Pradesh,The_Residency,"the battles must have been ferocious but, prior to the siege, it was a grand existence . do visit the museum which has a scale model of the site and some historic exhibits .",0.4588,4
Lucknow_Lucknow_District_Uttar_Pradesh,La_Martiniere_College,"the college is spread across big area and one would be happy to see the art work in the college . it is still functioning and boasts stables , a mews and an interesting concept of burying the founders .",0.7506,5
Lucknow_Lucknow_District_Uttar_Pradesh,Rumi_Darwaza,Rumi Gate is one of the old Lucknow entrances and is still in great shape . Located on through fare near Imambaras this is a great photo opportunity place .,0.9001,5
Lucknow_Lucknow_District_Uttar_Pradesh,Chandrika_Devi_Temple,maa of lucknow is one of the famous temple in the city . usually it’s very crowded and takes 2-3 hours for darshan .,0.0,3
Lucknow_Lucknow_District_Uttar_Pradesh,Chowk,"this is a good place for shopping as well as food lovers . experience the restaurants, crowds and rickshaws .",0.8126,5
Lucknow_Lucknow_District_Uttar_Pradesh,Nawab_Wajid_Ali_Shah_Zoological_Garden,the zoo is the only one in Lucknow and in fact nearby cities . the overall experience isn't that great as the place is unhygienic and not Maintened well .,-0.6259,1
Lucknow_Lucknow_District_Uttar_Pradesh,Ambedkar_Memorial_Park,"i love this place so much, especially for senior citizens . it is not a park and to go around the whole area during a warm day is tiresome .",0.7269,5
Lucknow_Lucknow_District_Uttar_Pradesh,Mankameshwar_Mandir,mankameshwar temple is one of four ancient temples dedicated to Lord Shiva located on the four corners of Agra City . offering milk here on the Shivalinga particularly on every Monday brings peace and prosperity .,0.7579,5
Lucknow_Lucknow_District_Uttar_Pradesh,Chhota_Imambara,the dazzling Chota imambara sits like a jewel amidst well maintained manicured gardens . for a token fee guides are available at the gates and make the tour inside rather interesting .,0.8316,5
Lucknow_Lucknow_District_Uttar_Pradesh,Ada_Chikan,Ada WhatsApp customer support team made my shopping experience really good . material and work quality is best.. liked the products too much .,0.8268,5
Lucknow_Lucknow_District_Uttar_Pradesh,Constantia_House,"the summer palace of general Martin ,later converted into a school . it is really tastefully done,the architecture is fabulous ,well maintained ,huge lawns and a piece of history abides here .",0.7783,5
Lucknow_Lucknow_District_Uttar_Pradesh,Gomti_Riverfront_Park,the river gomti is one of the most beautiful areas in the city . it is a peaceful place for a brisk morning / evening walk or to just hang out with friends .,0.902,5
Lucknow_Lucknow_District_Uttar_Pradesh,Aminabad,"aminabad is one of the most oldest markets of Lucknow . there are many shops and restaurants, there can everything buy what u want.",0.0772,3
Lucknow_Lucknow_District_Uttar_Pradesh,Chakra_Tirth_Temple,Chakra tirth is located about 90 kms from Lucknow off Sitapur Lucknow highway . the circular tank has two concentric circles the central circle is forbidden for bathing .,-0.4215,2
Lucknow_Lucknow_District_Uttar_Pradesh,Moti_Mahal,the food was deliciousad as always great Indian dishes . Often travel to Lucknow for work.,0.6249,5
Lucknow_Lucknow_District_Uttar_Pradesh,St_Joseph_s_Cathedral,St.Joseph's cathedral is a great church with excellent architecture . it's calmness makes it a perfect place to go and offer prayers and feel peace at heart .,0.9565,5
Lucknow_Lucknow_District_Uttar_Pradesh,Fun_Republic_Mall,i visited many malls and shopping complex but fun is very good it is not so big than pheonix mall in lucknow but one think i so that small children can not fall down .,0.867,5
