,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Riasi_Fort_or_Zorawar_Fort,V B,1.0 of 5 bubbles,Jun 2022 • Family,Filthy city,Nice Fort impressive sound and light show. Filthy surroundings with stray dogs everywhere Leh should improve the cleanliness and hygiene of this city to become attractive 
1,Riasi_Fort_or_Zorawar_Fort,kartiksingh,5.0 of 5 bubbles,Sep 2019,old fort with an amazing history,"The fort was rite close to the hotel , and we often walked towards it in the evening , its taken over by the army and have done a great job on restoring the place . "
2,Riasi_Fort_or_Zorawar_Fort,Global Traveler,5.0 of 5 bubbles,Jun 2019 • Family,Life Time Experience: Light and Sound Show at Zorawar Fort,"General Zorawar Fort Light and Sound Show is a must-visit attraction when you visit the city. Its impressive structure is made from a local type of clay, sun-dried bricks, stones and wooden frames around the edges. This fort was home to the ""Conqueror of Ladakh"" late Zorawar Singh Kahluria who consistently struggled against the Chinese Rulers. And even now this major tourist attraction gleams with pride and it is declared as one of the national monuments in India by Archaeological Sites and Remains Act 1958.The Light and sound show is run by the army. It has a museum which has a mould of General Zorawar and has tablets depicting all details of different wars that were fought in Ladhak. The show is about 30-45 minutes tell the different wars late Zorawar Singh fought and history of the fort. The civilians are given due respect and made to sit in the front row, the army personal and their families sit at the back rows. The entry ticket is free for those who have Hall of Fame ticket and rest Rs 20 each. A lifetime experience must visit. Tickets are available just before the show. Must-Visit."
3,Riasi_Fort_or_Zorawar_Fort,P G,5.0 of 5 bubbles,Jul 2019 • Friends,Most Fascinating personality of this Region,Zorawar Singh 's achievements and Heroics are worth looking at. He fought bravely till end to expand the Kingdom. he reached Mansarovar and opened horizons for future.
4,Riasi_Fort_or_Zorawar_Fort,Mazid,5.0 of 5 bubbles,May 2019 • Business,Zorawar fort,Nice place to visit and best things is maintain by Indian Army.Every at least visit Leh should go there
5,Riasi_Fort_or_Zorawar_Fort,Dhyan Chand,5.0 of 5 bubbles,Apr 2019 • Friends,Memories of Great Zorawar Singh,"Wazir Zorawar Singh, a general of Maharaja Gulab Singh of Dogra dynasty, was considered to be a military genius and a pastmaster in mountain warfare. He paid at least six visits to Ladakh between 1834 and 1841 and extended the boundaries of India in the north. Indian Army renovate the fort for public. A light and sound show also presented for public. #Incredableindia🇮🇳 "
6,Riasi_Fort_or_Zorawar_Fort,royjay2018,3.0 of 5 bubbles,Jun 2018 • Couples,Ruins of a great fort,"Zorawar Fort is located at the heart of Leh, quite close to the Leh Main Market. The Fort has not been well-maintained over the years and tourists may as well give it a skip.  "
7,Riasi_Fort_or_Zorawar_Fort,Lovers_paradise,2.0 of 5 bubbles,Jun 2018 • Couples,A dilapidated Fort,The Zorawar Fort is located near the Leh Main Market. The Fort is in ruins and does not merit any tourist activity. 
8,Riasi_Fort_or_Zorawar_Fort,RAJENDRA884 PRASAD,5.0 of 5 bubbles,Aug 2017 • Friends,High point of Sikh History in Ladakh!,"We stayed very close to this fort and visited this historical place, which was established by General Zorawar Singh, who was from armed forces of Raja Gulab Singh of Jammu, and invaded upto Tibet.This is a compact Museum, spread over two halls, part of an old fort.  Must see for those, who wish to learn about Sikh history and also about history of Ladakh."
9,Riasi_Fort_or_Zorawar_Fort,nidhi b,3.0 of 5 bubbles,Jul 2018 • Couples,Zorawar fort,the museum was average. The light show was good. You enjoy the sun set best from the fort. Can be left out from the itinerary
