,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Du_Khang,Niru64,5.0 of 5 bubbles,Sep 2019,The oldest monastery in Leh,"The Alchi monastery is definitely worth a visit . More than a thousand years old, it has Buddha as Avalokiteshwara, next is the   Maitri and then Manjushri. The entire wall of the sanctum is covered with beautiful small frescoes. A staircase made of a tree trunk outside the temple is a interesting conversation piece."
1,Du_Khang,SamikB2016,5.0 of 5 bubbles,Jun 2019 • Family,Hidden Heritage of India,"ke you bend to get in but once you step in you will surprised to stand in front of beautiful and enormous statues of Lord Budha some of which are even about 17 feet, the murals and paintings on the mud wall of the temples still look splendid. Taking photographs inside the temples is strictly prohibited. "
2,Du_Khang,Blitzkrieg3,4.0 of 5 bubbles,Aug 2018 • Friends,Intricate Artwork,"Du-Khang is the main assembly hall that forms a part of the Alchi Monastery's sacred premises. It is the oldest structure present in the shrine and is used as the venue for religious ceremonies and rituals. The walls of Du-Khang are adorned with artistic illustrations. Intricate designs and artworks related to various Bodhisattvas and guardian deities are present on the doorway that leads to this hall. Overall, a very nice place to visit."
3,Du_Khang,Kaushik G,4.0 of 5 bubbles,Aug 2017 • Couples,Prayer hall inside Alchi complex,We had visited this temple located inside the Alchi monastery complex during our vacation in Leh. We had traveled by car for 70km along Leh Srinagar highway to reach this ancient monastery complex with many small Buddhist temples. Du-Khang is the Assembly hall with beautiful paintings all over the inner walls where Buddhist monks sit and offer prayers to Lord Buddha.
4,Du_Khang,Amit M,5.0 of 5 bubbles,Jun 2017,A must see,On the way to Lamaryu....Its a monastery that is very different..took a lot of follow up with ASI to maintain it..they can do a better job of maintaining it...you can see the damage on the walls..but still can see the beautiful paintings on the walls...
5,Du_Khang,Tejisaji,4.0 of 5 bubbles,Jul 2017 • Friends,same,Frankly after some times you fell bore by visiting monastery . its good for those who love to understand history. Yes i loved as this is the base of ladkh  
6,Du_Khang,anjan_mukherjee,5.0 of 5 bubbles,Apr 2017 • Family,nice paintings,"we visited this place while visiting alchi monastery, nice paintings , many foreigners visit this place "
7,Du_Khang,ChauhanRuchi,5.0 of 5 bubbles,Jun 2016 • Family,Beautiful !!,"It is amazing to see the paintings on the walls of Alchi. Still bright and mesmerizing even after centuries. A few hours drive, roads are rough so journey might become a bit uncomfortable. Must visit in the region."
8,Du_Khang,TravellingNerd666,4.0 of 5 bubbles,Mar 2016 • Business,Beautiful Paintings and Artwork,The only thing I could recollect are the extremely wonderful paintings and artwork inside the Monastery. Very unique and if you pay attention you'll learn a lot of Buddhist Culture and their beliefs.
9,Du_Khang,lotusdiamond,4.0 of 5 bubbles,Jun 2016 • Family,Assambly hall,Prayer hall of Alchi Monastery is Du-khang and 1000 years old. Full of beautiful paintings on the walls and colourful decoration inside. Located away from the city of Leh at a distance of almost 70 km.
0,Du_Khang,Begaraaj S M,5.0 of 5 bubbles,Apr 2016 • Solo,Du-Khang or Assembly Hall !!!,"I went to Leh on 24th April 2016, on 25th I went to this wonderful monastery, it is one of the oldest monastries in Ladakh, located around 60km from Leh, its a must visit place when we are in Leh.Du-Khang is a Assembly hall with beautiful paintings allround when Monks will sit and pray.Happy travelling...Enjoy !!!"
1,Du_Khang,ANILJOHAR,4.0 of 5 bubbles,May 2016 • Family,Du-Khang,Du-Khang is in Alchi Monastery and when you will go to alchi you can visit there it is more than 1000 year old and for nature lover it is nice place.
