Tourist Attraction,Name,Rating,Date and criteria,Title,Review,Compound Sentiment,Normalised Sentiment
Palolem_Beach-Canacona_South,James K,4.0 of 5 bubbles,Feb 2023 • Solo,Fantastic beach in south Goa,Great beach in south goa really clean and not too busy with a lovely street opposite full of local shops to walk though ! Plus you can pretend to be Jason bourne as this is the beach he was running on and living with his girlfriend in the 2nd bourne movie : ),0.8953,5
Palolem_Beach-Canacona_South,Karen D,3.0 of 5 bubbles,Jan 2023 • Couples,Over hyped ok for a few days,This initially looks beautiful but  there’s a it of cows with their poo and wee a lot of  boats block the view It is dirty but it had a good vibe there are some lovely food snacks mostly ciarAns it’s lively but chilled I think a weekend would do unless you a young hippy type but otherwise quite fun for a couple of days that’s it Plus amazing sunset Over 30 just do a couple of days,0.9625,5
Palolem_Beach-Canacona_South,Shalin_Singh,5.0 of 5 bubbles,Jan 2023 • Family,Nice Beach,Amazing place clubbed with a butterfly beach boat ride. Place is also good for Kayaking and shopping. Overall must visit beach in Goa. No wonder it is no 1 attraction in Goa on Trip advisor,0.743,5
Palolem_Beach-Canacona_South,BJtravellernature,5.0 of 5 bubbles,Oct 2022 • Family,Loved it,Awesome and less crowded beach. Loved it. Has a good number of restaurants and a peaceful atmosphere to enjoy the beach.,0.9541,5
Palolem_Beach-Canacona_South,Nisha S,5.0 of 5 bubbles,Oct 2022 • Couples,Beautiful ,"Loved palolem beach.... Watched some amazing sunsets, beautiful beach, chill vibe, good restaurants and good people ",0.9545,5
Palolem_Beach-Canacona_South,Amit Shah,5.0 of 5 bubbles,Oct 2022,Palolem Beach - The Best,One of the best beaches of South Goa and highly recommended for view and scenery.. The crystal clear waters will drive you for a lovely swimming memories... The dolphin show is the USP of this place but was supposed to start from mid October 22 and so we were bit disappointed as we visited in 1st week.. How ever the beach and sunset views will keep you occupied... There are also small beach facing huts which one can enjoy for 1 or 2 nights stay.. ,0.7577,5
Palolem_Beach-Canacona_South,babushairtel,5.0 of 5 bubbles,Aug 2022 • Family,The best,Palolem beach is a one of the best mountain beach of south goa do come to palolem the best hangout town in Goa if you want best cab service in palolem nearby please call babush cab service on +919890841165  24 hrs service airport drop and pick up service with affordable rates.,0.9337,5
Palolem_Beach-Canacona_South,Suvarghya,5.0 of 5 bubbles,Aug 2022 • Family,Superb,Excellent beach if you want to avoid the crowd and sit or walk around in a relaxed manner. One of the best beach - sea experiences for me till date. ,0.8807,5
Palolem_Beach-Canacona_South,Prashant O,5.0 of 5 bubbles,Mar 2022 • Friends,The unseen Goa,"This is a beautiful clean beach with few people around, there are lots of accommodations right on the beach which is the best things about this place and in case ur an adventure freak you can go for a kayaking trip in the sea or the back waters.",0.8807,5
Palolem_Beach-Canacona_South,Ariana,4.0 of 5 bubbles,Jan 2022 • Couples,Beautiful beach,Love this beach but it does need some care an attention as I found the tides quite choppy when I was swimming,0.7845,5
Palolem_Beach-Canacona_South,Richard L,5.0 of 5 bubbles,Dec 2021 • Friends,Best beach in India,Surprised that the beach has not been ruined by Russian skyscrapers. Still Indian beach life at its best. Get it while you can.,0.825,5
Palolem_Beach-Canacona_South,Riju Dixit,1.0 of 5 bubbles,May 2022,Disgustingly Dirty,"This beach is 100% avoidable. The main access is covered with dog and cattle poop. When the kids went closer to the waters to dig & play, they dug up more poop. They call the beach - Poop-o-lem.",0.34,4
Palolem_Beach-Canacona_South,Ria1104,5.0 of 5 bubbles,Apr 2022 • Couples,Best  Beach in Goa,"This might be the most scenic beach in Goa. Morning, afternoon, evening whenever you go here you will be mesmerized by its beauty.  Last time I visited this place on a day trip from Benaulim but could not get enough of the beach. So this time I decided to stay at least for a day here.The only con of this beach is that it is located far away from the main hub of Goa so it might take a long time to reach here. We started from Panaji at 4 and it was quite dark when we reached there. My boyfriend was very scared while driving in that dark but I won't say there was any safety issue. Still its better to reach here before dark if you are not sure about the direction. Our stay was just behind the Art Resort Cafe so we just walked over to the beach through the cafe everytime. I must say at night the beach looks magical. Though we dont see much clublife on the beach but the entire beach is set up with beautiful candle light dinner arrangements by the shack guys. There are beautiful cabanas also where you can sit and enjoy your drinks. Surprisingly the drinks here are super cheap compared to North Goa but just an advice....always check the menu before placing any order.The morning view of the beach was far more beautiful. It was much calm and peaceful. We rented a kayak and went deep inside the waters till an island called Monkey Island and spent quite some time relaxing in the waters. Best part of the beach was that it was mostly filled with foreigners and so I happily wore my bikini when I went for a swim without any awkward look from men. It was my birthday that day so my boyfriend arranged for a shack to beautifully decorate their cabana at some minimal charge and we had a wonderful time there cutting cake, enjoying our drinks and having a tasty dinner while enjoying some soul soothing music.It was honestly the best beach experience for me in Goa and even though I might get bored of Baga or Calangute one day I can never get bored of Palolem and would definitely go there again and again.I highly recommend you to visit this beach if you are in South Goa and its better if you can stay a night or two here (you will even find beach huts right on the beach). Do not miss out kayaking in the waters. Also it is one of the safest beach in Goa to go swimming. Other than this you can also try out the boat ride to Butterfly Beach if you are interested. Also if comfortable....ladies do put on your favourite swimwear here without fear. If you don't own one feel free to shop at the local stores.",0.999,5
Palolem_Beach-Canacona_South,Tripsso Homestay & Cottages,5.0 of 5 bubbles,Apr 2022 • Family,Clean beach with beach side huts and cafe - Palolem,"Neat and clean beach with many beach side cafe and huts to stay. Normally this beach is much crowded than other beaches of south goa like patnem, rajbag, and agonda.",0.802,5
Palolem_Beach-Canacona_South,Nomadess1111,3.0 of 5 bubbles,Mar 2022 • Couples,Stunning beach but turning into Butlins,Stunning beach so gorgeous especially the north part towards Agonda but it’s turning into Butlins unless cornona boronavirus thing put a stop to that and the turtles had a party !!,0.6985,5
Palolem_Beach-Canacona_South,hoskote_c,5.0 of 5 bubbles,Mar 2022,Queen amongst the Goa Beaches,"This beach is a sight to behold! The gentle waves caressing the silver sands is magical. There are boat rides, paddle canoes, swimming in the blue waters or just lounge at the resort and chill out. We went in the morning, so it sparsely crowded, though we were told that in the evenings it gets very crowded.",0.4926,4
Palolem_Beach-Canacona_South,Jack,5.0 of 5 bubbles,Feb 2022,Big and central beach in south goa,Big and central beach in south goa. can get a bit crowded on weekends. lovely restaurants and market nearby,0.5859,5
Palolem_Beach-Canacona_South,Bern_Hazel,5.0 of 5 bubbles,Feb 2022,Backwater Eagle and Bird Spotting on a short boat trip up the Creek.,"Great Beach. A must do is the Backwater small boat trip at the North end of the beach, just around the corner. 50 minutes for a small fee. Just me and my wife slowly punted up the creek spotting Kingfishers, Cormorants Eagles, Kites and more. The highlight was when our guide fed the eagles and Kites! Dozens swooped down providing us with a spectacular aerial show! Amazing, well worth the small fee!!! Would highly recommend!!!!",0.9408,5
Palolem_Beach-Canacona_South,Surya,4.0 of 5 bubbles,Nov 2021 • Friends,Very good beach,"Palolem beach give the amazing view , especially in evenings. Candle light dinners everywhere near the beach , lights everywhere with very calm vibes . ",0.7501,5
Palolem_Beach-Canacona_South,Sakshi A,5.0 of 5 bubbles,Mar 2021,great getaway,one of the most picturesque beaches of goa - but go when thee would be less crowd so you can enjoy the beauty more,0.916,5
Palolem_Beach-Canacona_South,Prashanth M,1.0 of 5 bubbles,Dec 2021 • Friends,Trash island,This used to be a serene and clean beach . Now the sound of waves are drowned by loud music all night and the beach is littered with trash,0.2023,4
Palolem_Beach-Canacona_South,Amit J,5.0 of 5 bubbles,Jan 2021,Beautiful Beach,"Palolem beach in South Goa is one of the most beautiful beaches in Goa. The water here is very clean due to lesser crowd compared to beaches in South Goa. Shacks are less which also means a cleaner beach. Other than a dip in the sea, activities to do here are parasailing and a boat ride for dolphin spotting and a visit to Butterfly and Honeymoon Islands. Definitely a must visit place for a day trip.",0.8906,5
