,City,Attraction,Summarised Review,Compound Sentiment,Normalised Sentiment,Mean Rating
0,Goa,Palolem_Beach-Canacona_South,i highly recommend you to visit this beach if you are in south goa . the only place that we found with beach side huts and amazing food .,0.7645,5,4.41
1,Goa,Baga_Beach-Baga_North,the best is to stay in south goa for half the time and switch to baga for the end of the vacation . the beach is very overcrowded but nice place to spend time and relax.,0.8897,5,3.67
2,Goa,Benaulim_Beach-Benaulim_Salcette_South,"the beach is beautiful, clean and very less crowded . we went for dolphin trip and we're lucky to sight 6 dolphins close by.",0.8555,5,4.49
3,Goa,Cavelossim_Beach-Cavelossim_South,"the cavelossim beach is a delight to be in with family, clean waters and very good lifeguards too...the point where the sea meets the Sal River is breathtaking and a must see .",0.9152,5,4.73
4,Goa,Agonda_Beach-Agonda_South,beautiful beach with very less people around . one can enjoy the clear waters and sunbath all day long .,0.8658,5,4.61
5,Goa,Basilica_of_Bom_Jesus,"Located in old goa, this Basilica has an amazing architecture and is spread on a large complex, also housing a museum .",0.5859,5,4.37
6,Goa,Varca_Beach-Varca_Salcette_South,"one of the best beaches in Goa, white Sand, clean, less crowded, few shacks available which provide the necessary food and drinks .",0.7845,5,4.69
7,Goa,Candolim_Beach-Bardez_North,calamari beach is a great place to spend a day . shacks and resorts are available along the beach .,0.6249,5,4.47
8,Goa,Arambol_Beach-Arambol_North,the beach is getting a little crowded now unlike earlier but still it's a very nice clean beach with shacks and activities like water sports .,0.9073,5,4.28
9,Goa,Calangute_Beach-Calangute_North,i saw a number of people standing on the edges of the beach waiting for their chance to get a water sports ride . instead go to Candolim beach which is nearby . there are several other beaches in north goa which you will love to visit .,0.7579,5,3.93
10,Goa,Morjim_Beach-Morjim_North,i have been there many times and found this place is lovely and clean . high tide was more in night so much water logged in the way around sinq beach so coming & going is bit difficult .,0.6124,5,4.5
11,Goa,Deltin_Royale-Panjim_North,"if you are a first timer, this place is fair . they have no control nor any rule on total number of people at one floor at given time.",0.1027,4,4.22
12,Goa,Dudhsagar_Falls-Mollem_National_Park_South,"if you manage to reach there view is awsome local giude told us its running almost all year but there is no facilities at all not even a toilet . with the crowd and management by goa tourism, would recommend giving it a miss .",0.4019,4,4.16
13,Goa,Utorda_Beach-Utorda_South,"byke rentals are a boon for tourist in goa, it's the best mode of transport . one of the best beaches in india n never seen such a clean beach .",0.7988,5,4.75
14,Goa,Big_Daddy_Casino-Panjim_North,"the big daddy casino is the best casino in goaThe service is good Food is delicious The ambience is also great.Greeted by Mr. Stephio, he has managed our trip so well.",0.9266,5,4.77
15,Goa,Sheek_Emporium_Armanii_Boutique_Since_1950-Candolim_Bardez_North,i have had clothes made here many times on my last trip to goa and they are always well made and made just the way I asked . thank you Sheek emporium for the service and quality of the tailoring supplied to us for our sons wedding .,0.5574,5,5.0
16,Goa,Vagator_Beach-Mapusa_North,"goa is a beautiful, clean and little less crowded beach with good restaurants, pubs and water sports activities . the water seemed clean with small waves so probably safe bathing and paddling to be had .",0.9369,5,4.21
17,Goa,Old,"old goa is a beautiful place from the round about between Panaji and Margao place is all about beautiful churches and old architectures . ruins are OK, mostly damaged.",0.7125,5,4.43
18,Goa,Mandrem_Beach-Mandrem_North,not sure why this beach is so popular unless it’s the budget tour Russians on a boozing holiday . the beach is wide with very little shade & extremely diligent beach sellers .,0.6547,5,4.65
19,Goa,Fort_Aguada-Sinquerim_North,a small lighthouse is there which is closed to the public . the fort is well maintained and lot of restoration has happened and is still happening . if they do open that for visitors in the future it would be great to visit it .,0.7351,5,3.7
20,Goa,Cola_Beach-Canacona_South,the beach is backed by a freshwater lagoon and feels like a desert island . there are around 3 restaurants here and we chose the one you have to wade across the lagoon to get to .,0.3818,4,4.48
21,Goa,Colva_Beach-Colva_South,there are a fair few beach shacks to accomodate people . it is a crowded beach and not one where one can relax with a book to read .,0.6369,5,4.07
22,Goa,Fontainhas-Panjim_North,Fontainhaas is the beautiful part of Panjim city which has very old houses and amazing Portuguese architecture samples . if you want to experience a true feel of Portuguese houses and a small colony visit this area .,0.8957,5,4.36
