City,Attraction,Summarised Review
Madras,Kapaleeshwarar_Temple,"temple is in center of city ( Mylapore Chennai ) and having car parking with reasonable cost . even in the inside-most shrine for Lord Shiva, they implemented an A/C, something many temples in Kerala are lacking ."
Madras,VGP_Snow_Kingdom,a must visit place for friends and family in chennai . enjoyed a lot with my family and hubby .
Madras,Marina_Beach,the beach itself is really huge with a huge expanse of sand . if you will ride along the beach side road early morning then it will be a good experience .
Madras,Besant_Nagar_Beach,"temple is very crowded on Tuesdays and Fridays . the beach is very clean and well maintained, it is very safe as well ."
Madras,San_Thome_Church,a very nice white church beautiful contrast in the decor of a city of chennai . you have to go behind the church to enter the tomb of Thomas .
Madras,Express_Avenue_Mall,mall has a wide area for parking the cars and there is a digital board at the entrance of the car parking . Almost all types of shops are available here .
Madras,Shirdi_Sai_Baba_Temple,"sai baba temple in shirdi is a must visit after completing the darshan . there is also a place called dwarikamai, where he spent 60 years of life ."
Madras,Mylapore,chennai is a very old locality with many temples and eateries open since many decades . the old Brahmin houses have given way to new shops and show rooms .
Madras,Parthasarathy_Temple,the temple dates back to the 8th century and is one of the oldest structures in the city . lord vishnu is situated inside the temple and mostly Vaisnayanthe followers will be seen .
Madras,VGP_Marine_Kingdom,the place is well kept and is worth every penny spent . some people vomited inside the tunnel and it was stinking .
Madras,Ramakrishna_Temple,"the temple has an ancient history associated with the famous saints paramahamsar,sarada devi, vivekanandar . the temple is well maintained,huge,clean,and peaceful apt for meditation at the center the noisy city ."
Madras,Chennai_Central_Railway_Station,"chennai central railway station is one of the best places to reach almost to other places and also there are trains available often . the facilities and the maintenance has gone down tremendously, especially with the stink (may be due to freight - seafood)"
Madras,T_Nagar_Ranganathan_Street,best place in Chennai for shopping good bargains all the needs you can get it here.
Madras,Vadapalani_Murugan_Temple,lord anjaneyar temple in kodambakkam is one of the most popular temples in the world . the temple was built in 1890 by a strong devotee of Lord murugan called Annaswamy Nayakar
