Tourist Attraction,Name,Rating,Date and criteria,Title,Review,Compound Sentiment,Normalised Sentiment
Gateway_of_India,Shweta S,4.0 of 5 bubbles,Feb 2023 • Family,Beautiful,It must visit morning or night.It's beautiful historical place In mumbai.when we were there a lot of crowd there.We enjoyed the boat.Beautiful Gateway Of India🇮🇳.,0.802,5
Gateway_of_India,wonderful life,5.0 of 5 bubbles,Feb 2023 • Couples,Wonderful place,"Excellent place to visit, we loved it overall and highly recommended. Best for couples ND a must visit place in Mumbai not to miss ",0.9394,5
Gateway_of_India,Raoul B,5.0 of 5 bubbles,Feb 2023,Historic place symbolizing rise and fall of British empire,Interesting site to understand the power of British rule in India and to see where the last British soldiers said farewell to India,0.4019,4
Gateway_of_India,adc189,4.0 of 5 bubbles,Jan 2023,Iconic building next to the Taj Mahal Palace hotel,"Both the Gateway and the Taj Mahal Palace hotel (not that of  Akra) are iconic buildings, making the area interesting. From there,  you can take a boat to Elephanta caves. Worth visiting!",0.5983,5
Gateway_of_India,Acineto,5.0 of 5 bubbles,Jan 2023,Archway into the Sea,"The Gateway is quite a large archway located in the Colaba region of Mumbai. There is a large area in front of the gate where many people congregate and take photos. The gateway is very large and has some information about the history. There are a few other monuments nearby, including the Taj Mahal Palace.There is only one entrance to the area which requires bag screening and searches, usually when it's not too busy. It is free to enter the place. There are food stalls located outside the main entrance which sell a variety of different street food. It does get really busy though, since the area also has terminals for many ferries around the area including Elephanta. It was particularly busy on Sunday where the traffic was very heavy along the area. It is a nice place to make a day of since there are plenty of other attraction and sites around here.",0.8442,5
Gateway_of_India,Melina Devi Seeam,5.0 of 5 bubbles,Jan 2023,Gateway of India,"A must-visit landmark when in Mumbai. I got to see the sunset, nightfall, sunrise through the Gateway of India while staying at the Taj Mahal Palace & Tower. As part of the Tata Mumbai Marathon, there was a show going on at the Gateway that got the whole area filled with a serenade of Indian classical music and beats which made it truly a magical experience. An important point to note is that due to the Gateway being a very popular landmark it is very crowded. In the mornings before 8am or late nights after 11pm are the best times to visit from my experience. To get a full view of the Gateway along with the Taj, you would have to catch a ferry ride.",0.9117,5
Gateway_of_India,abhilashadoor,4.0 of 5 bubbles,Jan 2023,Gateway of india,"The Gateway of India is a historical monument located in Mumbai, India. It was built in 1911 to commemorate the visit of King George V and Queen Mary to India. The monument is located at the tip of Apollo Bunder, overlooking the Arabian Sea.One of the major attractions of the Gateway of India is the boat rides to Elephanta Caves, which is a UNESCO World Heritage Site. The boat ride takes around an hour and offers a beautiful view of the Mumbai Harbour and the city skyline.The Gateway of India is a popular tourist spot and is always crowded. However, the crowds are manageable, and the monument is well-maintained by the authorities. Overall, the Gateway of India is a must-visit destination for anyone visiting Mumbai.",0.8591,5
Gateway_of_India,Pavel N,5.0 of 5 bubbles,Nov 2022,Gate of India,Very impressive structure in the front of the famous and exclusive Taj Mahal Hotel. There are lot of various boats in the harbor.,0.624,5
Gateway_of_India,Rajesh R Kumathekar,5.0 of 5 bubbles,Jan 2023 • Family,Gateway for India,"Visited with family after a long gap and very good to see Nice Architecture with rich history, one of the most valuable for every Indian",0.9183,5
Gateway_of_India,Arun Mani Kanta Gunda,4.0 of 5 bubbles,Apr 2022 • Solo,Sight seeing ,Nothing more specific important to visit here just a normal basic visit just to see the monument security is good and tourists are more ,0.5426,5
Gateway_of_India,jassyp101,4.0 of 5 bubbles,Dec 2022 • Family,Beautiful architecture,Beautiful architecture and it’s clean and not moldy or mildewy like some buildings/structures can be. All the gates and security around it make it a bit hard to navigate but it’s well worth small inconveniences.,0.8608,5
Gateway_of_India,Kal,5.0 of 5 bubbles,Jan 2023,Lovely Place To Watch The Sunrise,"We came her to watch the sunrise and it was lovely. The main thing to note is that, because of the mist and smog, you won't actually see the sun until 5-10 minutes after the actual sunrise time, until it gets higher in the sky. ",0.3818,4
Gateway_of_India,Piyush A,5.0 of 5 bubbles,Dec 2022,The Gateway to India,"Built in the early years of 20th century to welcome the British ruling monarch coming to India via sea, this the perfect structure standing tall to tell what one should expect when they land in Mumbai coming via sea route.",0.7717,5
Gateway_of_India,perfectionist28,5.0 of 5 bubbles,Dec 2022 • Couples,Historic Site,It’s always crowded even in early morning however it’s highly secured. Officers are visible in the area at all times. The place is clean and well maintained. I love the flock of birds being fed early morning. It’s located adjacent to the Taj Mahal Palace.,0.8999,5
Gateway_of_India,S P S,4.0 of 5 bubbles,Dec 2022 • Family,Short visit location ,Good place to visit. Bit crowded. Noting much to do except monument or boat ride (local or to Eliphanta caves). Mostly you will find it as a crowded place with difficult parking.,0.1027,4
Gateway_of_India,dgomez2022,5.0 of 5 bubbles,Dec 2022,To be done,"Very nice tour ; wonderful views of Gateway of India from the boat. We did the tour early morning , 25th of december, so the island was not too crowded. We made the tour with a guide of Magic Mumbai that gives a lot of info to my teens",0.7939,5
Gateway_of_India,Sparta brunter,5.0 of 5 bubbles,Dec 2022 • Solo,GATEWAY TO GETAWAY,"Was a wonderful experience visiting the gateway of India, its an icon of tourism in Mumbai, learnt a lot about it, its indeed a wonderful place to learn about Colonial era",0.8126,5
Gateway_of_India,Andrew D,4.0 of 5 bubbles,Dec 2022 • Solo,Photo stop,"The gateway itself is stunning but slightly overcrowded with tourists which erode the overall experience. It is also outshined by the nearby Taj Mahal Hotel. That being said, it is a quintessential photo stop no first-time visitor should ever leave Mumbai without.",-0.6249,1
Gateway_of_India,Apolonia70,4.0 of 5 bubbles,Oct 2022,Historic landmark - imposing,"Including this is a must as it is an historic landmark and a great structure to photograph. Up close or seen from a ferry boat en route to Elephanta caves - or if you are fortunate like me, to have a window table for high tea at the Taj Mahal Palace Hotel - Sea lounge.  ",0.8689,5
Gateway_of_India,Susan C,3.0 of 5 bubbles,Dec 2022,Visit the Taj hotel for Masala Chai!,"Honestly, we walked around the gateway, and I wasn't fascinated, or excited by it. If you're in a rush you can skip this location.Or just view it from the street and go get a Masala chai at the The Taj instead! ",-0.222,3
Gateway_of_India,Vispi B,5.0 of 5 bubbles,Oct 2022,A HISTORIC STRUCTURE,"a must visit for every citizen of bombay. just chill, enjoy the cool breeze, take pictures and enjoy a boat ride",0.8271,5
Gateway_of_India,Mayur M,4.0 of 5 bubbles,Dec 2022 • Friends,Got to stop by if in Mumbai,"Had a day to kill as friends flew by from Hyderabad as this was a short visit to Mumbai. Had an Innova for 8 hours started off from Khar with the first stop at Gateway of India to reminisce my trip a decade ago.  Like usual, the place was busting at seams with tourists and photographers. Took a few photos on cellphone and got some from the photographer.  Good weather for December helped, but they closed down in 10 minutes after we arrived for a G20 setup. It's o.k. as it was worth it.",0.3919,4
Gateway_of_India,Jake H,5.0 of 5 bubbles,Dec 2022,"Beautiful, must-see sight in India","We stayed across the street from the Gateway, and it is a beautiful, historic landmark. Tourists and locals flock to see the grandeur and symbolic gateway to the country. Despite it maligned history, the Gateway is a beautiful, must-see cultural sight of the country.",0.91,5
Gateway_of_India,Michael P,4.0 of 5 bubbles,Dec 2022,Iconic monument of colonial history,The Gateway is very much a symbol of the past British rule in India and visited daily by thousands of tourists. You are able to take a boat ride out to see the sun set over the Gateway. Iconic but far less interesting than the architectural heritage of the city.,0.4785,4
Gateway_of_India,Ram M,5.0 of 5 bubbles,Nov 2022,Birthday Celebration & Family Visit and I feel proud to be family member of TATA GROUP very thankful to TATA Group,"Bharat Darshan and Tradition of Indian culture like Evening Arati, very Melodious music at night Bhagvan Darsana at the Gate Digital equipped safety system  Guest is treated like GOD ",0.8636,5
Gateway_of_India,shakmed,5.0 of 5 bubbles,Oct 2022,"Attractive, always !","Gateway is the identity of Mumbai and sea ferries are its attraction, though they doesn't maintain the boats though take the handsome fares.",0.7351,5
Gateway_of_India,NZBLR,5.0 of 5 bubbles,Oct 2022,Good Place,"Its a good place but very crowded, its an iconic monument & people should visit if they are visiting Mumbai",0.2382,4
Gateway_of_India,Ayesha D,3.0 of 5 bubbles,Nov 2022 • Couples,Must visit place in Mumbai,"Landmark, iconic place to visit. But overcrowded. Expected not to be cleaner as a landmark place. Taj Mahal Palace Hotel is right infront of it and can enjoy a good cup of coffee at the lobby or coffee shop.",0.8451,5
Gateway_of_India,Caroline C,4.0 of 5 bubbles,Oct 2022 • Family,Family fun,"Whilst very busy, the general buzz around the place was exciting for the whole family and the photographers charged a really fair price. The only thing to disappoint was the lack of lighting at night. We assumed it would be fully lit.",-0.0018,3
Gateway_of_India,Pradeep S,4.0 of 5 bubbles,Oct 2022,Stay at the TAJ Maal Hotel,Luxury personified. We came here because a stay at this property had been on my bucket list for a long time.,0.0,3
Gateway_of_India,Syed Asaduzzaman Chowdhury,5.0 of 5 bubbles,Oct 2022,Nice place to see,Friend Mr. Rajesh Desai took me and my wife to visit this wonderful place. Ambience was excellent with vibrant people all around. We enjoyed visiting it. ,0.9582,5
Gateway_of_India,ankur kandoi,4.0 of 5 bubbles,Sep 2022,Gate of India visit in Mumbai,a heritage architecture.. this place is lovely.. you get very lively vibes in this place..you also get a very good view of the Taj Mahal hotel..Its a must visit place in Mumbai,0.7496,5
Gateway_of_India,vimsy,4.0 of 5 bubbles,Oct 2022,A must visit landmark site,"The Gateway of India is a sight to behold. The endless Arabian Sea behind it is mesmerizing. However, its tough for a person to enjoy the view for long time due to the bustling crowd on weekends. Best to visit during weekday to abasorb the beauty.",0.8934,5
Gateway_of_India,Dr Radhika Gupta heranjal,5.0 of 5 bubbles,Nov 2021 • Solo,Gateway,It’s nice and calm in the night. Windy. Daytime quite hectic. The ferry around is cheap n fun. It’s a good trip in the ocean feeding the birds. Hotel taj opposite to it has beautiful cafe,0.9349,5
Gateway_of_India,Esmeralda,1.0 of 5 bubbles,Sep 2022 • Couples,Spooked,You get the feeling that you are being watched. There are people staring at you. We got the feeling that someone is secretly and spookily watching your every move.,0.25,4
Gateway_of_India,Sudhir d,5.0 of 5 bubbles,Oct 2022 • Family, Famiky visit,Gud to see the iconic structure from the hotel. Boarding  point for the ferry to caves  Akbagh etc makes the place messy and crowded,-0.3612,2
Gateway_of_India,Shamim Ehsan,1.0 of 5 bubbles,Sep 2022,Over Crowded,"Over Crowded & dirty. not even good views,  Over Crowded & dirty. not even good views,  Over Crowded & dirty. not even good views,  ",-0.9315,1
Gateway_of_India,Lazyroutes,5.0 of 5 bubbles,Sep 2022 • Couples,Would come back,"The 5* rating is well deserved! From the time you enter to your room the service is warm, accommodating and personalized. The sea view is relaxing. Rooms are well appointed and comfortable. Cleanliness is a given. All the usual trappings apart, this hotel offers a class of old style service that is fast disappearing.The hotel is good for business as well as holiday stays.Several staff we interacted with deserve special mention! Chef Surendra @ Shamiana and chef Simon Shauqat @ Souk were excellent! and their suggestions spot on. Mala and her staff at the Sea Lounge, Anslem at the breakfast service also deserve special mention for their warmth and helpfulness. Anslem even shared photos of the view on a clear day as we had cloudy/rainy weather. The housekeeping is unobtrusively efficient. What impressed is that trainees are so eager and willing help too. So this hotel obviously inspires them to rise to it's standards.I hope you enjoy your stay too.",0.9953,5
Gateway_of_India,TenBaylor,5.0 of 5 bubbles,Sep 2022,Gateway of India,"Nice place to visit, as white tourists we were popular and often asked for photos. Hopefully we don't appear on your timeline anytime soon!",0.8221,5
Gateway_of_India,Molly1107,3.0 of 5 bubbles,Aug 2022,Nice,"We stayed in the Taj so could see this from our balcony.The history behing the Gateway is interesting.Would I recommend travelling a distnace to view it - no I wouldn't.From our balcony view, the area was jammed with people",0.0772,3
Gateway_of_India,Jay Ram,5.0 of 5 bubbles,Feb 2022,Amazing,"Visiting gateway of India was an great opportunity, i had visited there in February and that time the weather of their was great. I feel proud when i go to our historical places of india",0.9337,5
Gateway_of_India,wal ds,2.0 of 5 bubbles,Aug 2022,Experience not worth of remembering,"First if someone can explain me the presence of police check post in that area ?. You need to scan your bags before you enter this area and funniest part is both on male and female check posts none of the police personal bothered to check whats get scanned , they were busy on their phones watching some videos . Wastage of time and money by the govt. Place is filled with touts and the place is barricaded so you cannot see much of this place . Last time I visited this place was in 1999 and from then till now a lot of things were changed . One of the best place to visit if you are art lover then there is a museum not far from this place and its really amazing !!! experience . So dont waste your time in this place rather visit the museum which is nearby  something called Shivaji ....",0.957,5
Gateway_of_India,Devendra G,5.0 of 5 bubbles,Aug 2022,Iconic gateway,"Gateway of India is an iconic monument in Mumbai with Taj hotel in the backdrop. The monument was constructed during the British era to commemorate the arrival of George V, and today it holds historical significance. It was also the site of terror attack in 2008.  Opposite to the gateway, stands the statue of Chhatrapati Shivaji Maharaj.  We visited the gateway with family and then spent time in the nearby restaurants.",-0.6597,1
Gateway_of_India,Radek,5.0 of 5 bubbles,May 2022,"A ""must see"" in Mumbai","Central meeting point, famous hotel nearby, plus lots of good quality cafes, restaurants and pubs. Crowded most of times.",0.4404,4
Gateway_of_India,Kiran Prasad Ivaturi(IK),5.0 of 5 bubbles,Jul 2022,Mumbai Icon,"This is what Mumbai stand for.... amazing place to walk around, cool breeze and amazing scenic view. ",0.872,5
Gateway_of_India,Deepak the traveller,5.0 of 5 bubbles,Jul 2022,Gateway with Taj in the back drop,Amazing monument and we have the Taj in the backdrop which makes it wonderful. The Gate way and the Taj both are iconic..,0.8176,5
Gateway_of_India,Cristiano B,4.0 of 5 bubbles,Jun 2022 • Couples,Outstanding,"The Indian Gate is an arched monument built in Mumbai, India in the 20th century. Early and evening light is good for photographs. Many locals in the square. The India Gate, facing the Bay of Mumbai, is the facade and iconic building of India, very popular tourist attraction.",0.8503,5
