,City,Attraction,Summarised Review,Compound Sentiment,Normalised Sentiment,Mean Rating
0,New_Delhi_National_Capital_Territory_of_Delhi,Qutub_Minar,minaret is the tallest brick-built structure in the world at nearly 240ft . it has five storeys each marked by a projecting balcony . 43 people died in a 1980 accident when there was a power failure .,-0.875,1,4.74
1,New_Delhi_National_Capital_Territory_of_Delhi,Swaminarayan_Akshardham,the light and sound show is right in front of the Swaminarayan statue . a food court is also available on premises with health foods . the temple is one of the most beautiful places in india .,0.6361,5,4.59
2,New_Delhi_National_Capital_Territory_of_Delhi,Humayun_s_Tomb,the tomb of the Mughal emperor Humayun is a unesco world heritage monument . it was built in 1570 and is the first garden tomb on the Indian sub-continent .,0.0,3,4.47
3,New_Delhi_National_Capital_Territory_of_Delhi,Gurudwara_Bangla_Sahib,"bangala sahib gurudwara is one of the most prominent places of Sikh worship in delhi . the temple is home to 70,000 worshippers and a free meal service is available . sikhs believe in one god",0.8748,5,4.75
4,New_Delhi_National_Capital_Territory_of_Delhi,India_Gate,"the monument towers nearly 140ft and is a fitting tribute to the 84,000 British Indian Army soldiers who died between 1914 and 1921 . just walking slowly towards the great arch gives every visitor a feeling of awe .",0.25,4,4.4
5,New_Delhi_National_Capital_Territory_of_Delhi,Lodhi_Garden,"Lodhi Garden is a beautiful place to have some me time, family picnic sort of time, relaxing and aaway from City chaos especially Delhi traffic and pollution .",0.4779,4,4.59
6,New_Delhi_National_Capital_Territory_of_Delhi,Lotus_Temple,"the temple itself is constructed in the shape of a lotus flower with twenty-seven petals and can seat 1,300 people inside . there is strictly no photography, no videoing and no talking allowed inside and this is watchfully enforced .",-0.6808,1,4.53
7,New_Delhi_National_Capital_Territory_of_Delhi,Red_Fort,red fort is spread across 255 acres in old Delhi city and is one of the land mark location of the city . work to build the fort began in 1638 and was completed in 1648 .,0.0,3,4.4
8,New_Delhi_National_Capital_Territory_of_Delhi,Chandni_Chowk,"walk along the street - since cars are not allowed, its quite comfortable, but you do need to watch your pockets . it is a good idea to book a cycle rickshaw and ask him to take a round of the entire street .",0.7308,5,4.29
9,New_Delhi_National_Capital_Territory_of_Delhi,Hauz_Khas_Village,rs 25/-One time visit place Surrounding places are good near metro station easily reachable .,0.6486,5,3.98
10,New_Delhi_National_Capital_Territory_of_Delhi,Rashtrapati_Bhavan,Rashtrapati Bhavan is one of the best architecture and well managed place . the building is stunning and well worth visiting even to see the small number of rooms on the guided tour .,0.9042,5,4.56
11,New_Delhi_National_Capital_Territory_of_Delhi,Delhi_Airport_Metro_Express,i use the metro service quite often because i go to the airport almost every single day . it is the best metro service Delhi has proverbially had .,0.6369,5,4.83
12,New_Delhi_National_Capital_Territory_of_Delhi,Select_Citywalk,the Select CITYWALK mall is one of the best shopping malls in south Delhi . along with DLF is the place to go to.. Lovely brands and good eateries all around.,0.8979,5,4.58
13,New_Delhi_National_Capital_Territory_of_Delhi,Rajpath,the Rajpath stretches from India Gate to the Presidential Palace . the road was closed to traffic making for a very pleasant walk .,0.5563,5,4.54
14,New_Delhi_National_Capital_Territory_of_Delhi,Gandhi_Smriti,"the Gandhi Smriti is a state of the art museum where Gandhi's last moments are depicted . it is also the place where he died, but the exhibit focus on his life, mentions his death but not his murder .",-0.3701,2,4.67
15,New_Delhi_National_Capital_Territory_of_Delhi,Connaught_Place,connaught place is also known as CP and Central part of Delhi . it's a good time pass place here everybody come to enjoy their time .,0.7269,5,3.82
16,New_Delhi_National_Capital_Territory_of_Delhi,Birla_Mandir_Temple_Lakshmi_Narayan,"temple is very good, neat and clean except the wash rooms which badly need renovation . an interesting shrine is one to Buddha, which is not a feature I’ve seen in a Hindu temple before .",0.8304,5,4.42
17,New_Delhi_National_Capital_Territory_of_Delhi,Chhatarpur_Temple,chattarpur temple is located at a very busy but still the kind of peace you can get at this place is undescribable . the temple complex is very large and has huge segments across the road .,0.8053,5,4.45
