City,TimeFrame,Type,Stars (MR),#Attractions,Mean Sentiment,Mean Rating,Mean Summarised Sentiment,,
Mumbai,Past 1 year,Couple,0-1,0,3.26,4.63,3.90,,
Mumbai,Past 1 year,Couple,1-2,43,,,,,
Mumbai,Past 1 year,Couple,2-3,76,,,,,
Mumbai,Past 1 year,Couple,3-4,238,,,,,
Mumbai,Past 1 year,Couple,4-5,1573,,,,,
Mumbai,Past 1 year,Other,0-1,0,3.48,4.59,3.99,,
Mumbai,Past 1 year,Other,1-2,43,,,,,
Mumbai,Past 1 year,Other,2-3,76,,,,,
Mumbai,Past 1 year,Other,3-4,238,,,,,
Mumbai,Past 1 year,Other,4-5,1573,,,,,
Mumbai,Past 3 years,Family,0-1,0,3.67,4.61,3.93,,
Mumbai,Past 3 years,Family,1-2,43,,,,,
Mumbai,Past 3 years,Family,2-3,76,,,,,
Mumbai,Past 3 years,Family,3-4,238,,,,,
Mumbai,Past 3 years,Family,4-5,1573,,,,,
Mumbai,Past 3 years,Friends,0-1,0,3.52,4.25,3.83,,
Mumbai,Past 3 years,Friends,1-2,43,,,,,
Mumbai,Past 3 years,Friends,2-3,76,,,,,
Mumbai,Past 3 years,Friends,3-4,238,,,,,
Mumbai,Past 3 years,Friends,4-5,1573,,,,,
Mumbai,Past 3 years,Solo,0-1,0,3.44,4.65,3.97,,
Mumbai,Past 3 years,Solo,1-2,43,,,,,
Mumbai,Past 3 years,Solo,2-3,76,,,,,
Mumbai,Past 3 years,Solo,3-4,238,,,,,
Mumbai,Past 3 years,Solo,4-5,1573,,,,,
Mumbai,Past 3 years,Couple,0-1,0,3.32,4.63,3.84,,
Mumbai,Past 3 years,Couple,1-2,43,,,,,
Mumbai,Past 3 years,Couple,2-3,76,,,,,
Mumbai,Past 3 years,Couple,3-4,238,,,,,
Mumbai,Past 3 years,Couple,4-5,1573,,,,,
Mumbai,Past 3 years,Other,0-1,0,3.43,4.62,4.00,,
Mumbai,Past 3 years,Other,1-2,43,,,,,
Mumbai,Past 3 years,Other,2-3,76,,,,,
Mumbai,Past 3 years,Other,3-4,238,,,,,
Mumbai,Past 3 years,Other,4-5,1573,,,,,
Mumbai,Past 5 years,Family,0-1,0,3.68,4.58,3.92,,
Mumbai,Past 5 years,Family,1-2,43,,,,,
Mumbai,Past 5 years,Family,2-3,76,,,,,
Mumbai,Past 5 years,Family,3-4,238,,,,,
Mumbai,Past 5 years,Family,4-5,1573,,,,,
Mumbai,Past 5 years,Friends,0-1,0,3.47,4.31,3.82,,
Mumbai,Past 5 years,Friends,1-2,43,,,,,
Mumbai,Past 5 years,Friends,2-3,76,,,,,
Mumbai,Past 5 years,Friends,3-4,238,,,,,
Mumbai,Past 5 years,Friends,4-5,1573,,,,,
Mumbai,Past 5 years,Solo,0-1,0,3.38,4.70,4.00,,
Mumbai,Past 5 years,Solo,1-2,43,,,,,
Mumbai,Past 5 years,Solo,2-3,76,,,,,
Mumbai,Past 5 years,Solo,3-4,238,,,,,
Mumbai,Past 5 years,Solo,4-5,1573,,,,,
Mumbai,Past 5 years,Couple,0-1,0,3.23,4.72,3.85,,
Mumbai,Past 5 years,Couple,1-2,43,,,,,
Mumbai,Past 5 years,Couple,2-3,76,,,,,
Mumbai,Past 5 years,Couple,3-4,238,,,,,
Mumbai,Past 5 years,Couple,4-5,1573,,,,,
Mumbai,Past 5 years,Other,0-1,0,3.39,4.54,4.03,,
Mumbai,Past 5 years,Other,1-2,43,,,,,
Mumbai,Past 5 years,Other,2-3,76,,,,,
Mumbai,Past 5 years,Other,3-4,238,,,,,
Mumbai,Past 5 years,Other,4-5,1573,,,,,
Mumbai,Past 5 years,Family,0-1,0,3.72,4.64,3.95,,
Mumbai,All Time,Family,1-2,43,,,,,
Mumbai,All Time,Family,2-3,76,,,,,
Mumbai,All Time,Family,3-4,238,,,,,
Mumbai,All Time,Family,4-5,1573,,,,,
Mumbai,All Time,Friends,0-1,0,3.54,4.30,3.82,,
Mumbai,All Time,Friends,1-2,43,,,,,
Mumbai,All Time,Friends,2-3,76,,,,,
Mumbai,All Time,Friends,3-4,238,,,,,
Mumbai,All Time,Friends,4-5,1573,,,,,
Mumbai,All Time,Solo,0-1,0,3.37,4.81,4.00,,
Mumbai,All Time,Solo,1-2,43,,,,,
Mumbai,All Time,Solo,2-3,76,,,,,
Mumbai,All Time,Solo,3-4,238,,,,,
Mumbai,All Time,Solo,4-5,1573,,,,,
Mumbai,All Time,Couple,0-1,0,3.21,4.76,3.81,,
Mumbai,All Time,Couple,1-2,43,,,,,
Mumbai,All Time,Couple,2-3,76,,,,,
Mumbai,All Time,Couple,3-4,238,,,,,
Mumbai,All Time,Couple,4-5,1573,,,,,
Mumbai,All Time,Other,0-1,0,3.22,4.56,4.03,,0
Mumbai,All Time,Other,1-2,43,,,,,13.63523316
Mumbai,All Time,Other,2-3,76,,,,,24.09948187
Mumbai,All Time,Other,3-4,238,,,,,75.46943005
Mumbai,All Time,Other,4-5,1573,,,,,498.7958549
Kolkata,Past 3 months,Family,0-1,0,3.40,4.41,3.98,,0
Kolkata,Past 3 months,Family,1-2,14,,,,,4.439378238
Kolkata,Past 3 months,Family,2-3,25,,,,,7.92746114
Kolkata,Past 3 months,Family,3-4,81,,,,,25.68497409
Kolkata,Past 3 months,Family,4-5,485,,,,,
Kolkata,Past 3 months,Friends,0-1,0,3.34,4.23,3.79,,
Kolkata,Past 3 months,Friends,1-2,14,,,,,
Kolkata,Past 3 months,Friends,2-3,25,,,,,
Kolkata,Past 3 months,Friends,3-4,81,,,,,
Kolkata,Past 3 months,Friends,4-5,485,,,,,
Kolkata,Past 3 months,Solo,0-1,0,3.48,4.45,4.05,,
Kolkata,Past 3 months,Solo,1-2,14,,,,,
Kolkata,Past 3 months,Solo,2-3,25,,,,,
Kolkata,Past 3 months,Solo,3-4,81,,,,,
Kolkata,Past 3 months,Solo,4-5,485,,,,,
Kolkata,Past 3 months,Family,0-1,0,3.29,4.56,3.87,,
Kolkata,Past 3 months,Family,1-2,14,,,,,
Kolkata,Past 3 months,Family,2-3,25,,,,,
Kolkata,Past 3 months,Family,3-4,81,,,,,
Kolkata,Past 3 months,Family,4-5,485,,,,,
Kolkata,Past 3 months,Other,0-1,0,3.42,4.43,3.62,,
Kolkata,Past 3 months,Other,1-2,14,,,,,
Kolkata,Past 3 months,Other,2-3,25,,,,,
Kolkata,Past 3 months,Other,3-4,81,,,,,
Kolkata,Past 6 months,Family,4-5,485,,,,,
Kolkata,Past 6 months,Family,0-1,0,3.45,4.32,3.86,,
Kolkata,Past 6 months,Family,1-2,14,,,,,
Kolkata,Past 6 months,Family,2-3,25,,,,,
Kolkata,Past 6 months,Family,3-4,81,,,,,
Kolkata,Past 6 months,Friends,4-5,485,,,,,
Kolkata,Past 6 months,Friends,0-1,0,3.43,4.23,3.84,,
Kolkata,Past 6 months,Friends,1-2,14,,,,,
Kolkata,Past 6 months,Friends,2-3,25,,,,,
Kolkata,Past 6 months,Friends,3-4,81,,,,,
Kolkata,Past 6 months,Solo,4-5,485,,,,,
Kolkata,Past 6 months,Solo,0-1,0,3.43,4.54,4.08,,
Kolkata,Past 6 months,Solo,1-2,14,,,,,
Kolkata,Past 6 months,Solo,2-3,25,,,,,
Kolkata,Past 6 months,Solo,3-4,81,,,,,
Kolkata,Past 6 months,Family,4-5,485,,,,,
Kolkata,Past 6 months,Family,0-1,0,3.23,4.58,3.59,,
Kolkata,Past 6 months,Family,1-2,14,,,,,
Kolkata,Past 6 months,Family,2-3,25,,,,,
Kolkata,Past 6 months,Family,3-4,81,,,,,
Kolkata,Past 6 months,Other,4-5,485,,,,,
Kolkata,Past 6 months,Other,0-1,0,3.36,4.53,3.88,,
Kolkata,Past 6 months,Other,1-2,14,,,,,
Kolkata,Past 6 months,Other,2-3,25,,,,,
Kolkata,Past 6 months,Other,3-4,81,,,,,
Kolkata,Past 1 year,Family,4-5,485,,,,,
Kolkata,Past 1 year,Family,0-1,0,3.56,4.64,3.83,,
Kolkata,Past 1 year,Family,1-2,14,,,,,
Kolkata,Past 1 year,Family,2-3,25,,,,,
Kolkata,Past 1 year,Family,3-4,81,,,,,
Kolkata,Past 1 year,Friends,4-5,485,,,,,
Kolkata,Past 1 year,Friends,0-1,0,3.44,4.31,3.89,,
Kolkata,Past 1 year,Friends,1-2,14,,,,,
Kolkata,Past 1 year,Friends,2-3,25,,,,,
Kolkata,Past 1 year,Friends,3-4,81,,,,,
Kolkata,Past 1 year,Solo,4-5,485,,,,,
Kolkata,Past 1 year,Solo,0-1,0,3.53,4.58,3.96,,
Kolkata,Past 1 year,Solo,1-2,14,,,,,
Kolkata,Past 1 year,Solo,2-3,25,,,,,
Kolkata,Past 1 year,Solo,3-4,81,,,,,
Kolkata,Past 1 year,Family,4-5,485,,,,,
Kolkata,Past 1 year,Family,0-1,0,3.32,4.46,3.82,,
Kolkata,Past 1 year,Family,1-2,14,,,,,
Kolkata,Past 1 year,Family,2-3,25,,,,,
Kolkata,Past 1 year,Family,3-4,81,,,,,
Kolkata,Past 1 year,Other,4-5,485,,,,,
Kolkata,Past 1 year,Other,0-1,0,3.32,4.62,3.87,,
Kolkata,Past 1 year,Other,1-2,14,,,,,
Kolkata,Past 1 year,Other,2-3,25,,,,,
Kolkata,Past 1 year,Other,3-4,81,,,,,
Kolkata,Past 3 years,Family,4-5,485,,,,,
Kolkata,Past 3 years,Family,0-1,0,3.63,4.63,3.95,,
Kolkata,Past 3 years,Family,1-2,14,,,,,
Kolkata,Past 3 years,Family,2-3,25,,,,,
Kolkata,Past 3 years,Family,3-4,81,,,,,
Kolkata,Past 3 years,Friends,4-5,485,,,,,
Kolkata,Past 3 years,Friends,0-1,0,3.40,4.33,3.68,,
Kolkata,Past 3 years,Friends,1-2,14,,,,,
Kolkata,Past 3 years,Friends,2-3,25,,,,,
Kolkata,Past 3 years,Friends,3-4,81,,,,,
Kolkata,Past 3 years,Solo,4-5,485,,,,,
Kolkata,Past 3 years,Solo,0-1,0,3.32,4.68,3.87,,
Kolkata,Past 3 years,Solo,1-2,14,,,,,
Kolkata,Past 3 years,Solo,2-3,25,,,,,
Kolkata,Past 3 years,Solo,3-4,81,,,,,
Kolkata,Past 3 years,Family,4-5,485,,,,,
Kolkata,Past 3 years,Family,0-1,0,3.25,4.50,3.90,,
Kolkata,Past 3 years,Family,1-2,14,,,,,
Kolkata,Past 3 years,Family,2-3,25,,,,,
Kolkata,Past 3 years,Family,3-4,81,,,,,
Kolkata,Past 3 years,Other,4-5,485,,,,,
Kolkata,Past 3 years,Other,0-1,0,3.34,4.66,4.07,,
Kolkata,Past 3 years,Other,1-2,14,,,,,
Kolkata,Past 3 years,Other,2-3,25,,,,,
Kolkata,Past 3 years,Other,3-4,81,,,,,
Kolkata,Past 5 years,Family,4-5,485,,,,,
Kolkata,Past 5 years,Family,0-1,0,3.62,4.60,3.91,,
Kolkata,Past 5 years,Family,1-2,14,,,,,
Kolkata,Past 5 years,Family,2-3,25,,,,,
Kolkata,Past 5 years,Family,3-4,81,,,,,
Kolkata,Past 5 years,Friends,4-5,485,,,,,
Kolkata,Past 5 years,Friends,0-1,0,3.38,4.23,3.84,,
Kolkata,Past 5 years,Friends,1-2,14,,,,,
Kolkata,Past 5 years,Friends,2-3,25,,,,,
Kolkata,Past 5 years,Friends,3-4,81,,,,,
Kolkata,Past 5 years,Solo,4-5,485,,,,,
Kolkata,Past 5 years,Solo,0-1,0,3.42,4.58,3.82,,
Kolkata,Past 5 years,Solo,1-2,14,,,,,
Kolkata,Past 5 years,Solo,2-3,25,,,,,
Kolkata,Past 5 years,Solo,3-4,81,,,,,
Kolkata,Past 5 years,Family,4-5,485,,,,,
Kolkata,Past 5 years,Family,0-1,0,3.18,4.70,3.81,,
Kolkata,Past 5 years,Family,1-2,14,,,,,
Kolkata,Past 5 years,Family,2-3,25,,,,,
Kolkata,Past 5 years,Family,3-4,81,,,,,
Kolkata,Past 5 years,Other,4-5,485,,,,,
Kolkata,Past 5 years,Other,0-1,0,3.30,4.39,3.95,,
Kolkata,Past 5 years,Other,1-2,14,,,,,
Kolkata,Past 5 years,Other,2-3,25,,,,,
Kolkata,Past 5 years,Other,3-4,81,,,,,
Kolkata,Past 5 years,Other,4-5,485,,,,,
Kolkata,All Time,Family,0-1,0,3.73,4.52,3.82,,
Kolkata,All Time,Family,1-2,14,,,,,
Kolkata,All Time,Family,2-3,25,,,,,
Kolkata,All Time,Family,3-4,81,,,,,
Kolkata,All Time,Family,4-5,485,,,,,
Kolkata,All Time,Friends,0-1,0,3.46,4.30,3.87,,
Kolkata,All Time,Friends,1-2,14,,,,,
Kolkata,All Time,Friends,2-3,25,,,,,
Kolkata,All Time,Friends,3-4,81,,,,,
Kolkata,All Time,Friends,4-5,485,,,,,
Kolkata,All Time,Solo,0-1,0,3.38,4.67,3.89,,
Kolkata,All Time,Solo,1-2,14,,,,,
Kolkata,All Time,Solo,2-3,25,,,,,
Kolkata,All Time,Solo,3-4,81,,,,,
Kolkata,All Time,Solo,4-5,485,,,,,
Kolkata,All Time,Family,0-1,0,3.23,4.64,3.77,,
Kolkata,All Time,Family,1-2,14,,,,,
Kolkata,All Time,Family,2-3,25,,,,,
Kolkata,All Time,Family,3-4,81,,,,,
Kolkata,All Time,Family,4-5,485,,,,,
Kolkata,All Time,Other,0-1,0,3.16,4.57,3.90,,
Kolkata,All Time,Other,1-2,14,,,,,
Kolkata,All Time,Other,2-3,25,,,,,
Kolkata,All Time,Other,3-4,81,,,,,
Kolkata,All Time,Other,4-5,485,,,,,
Delhi,Past 3 months,Family,0-1,,2.91,4.48,4.05,,
Delhi,Past 3 months,Family,1-2,,,,,,
Delhi,Past 3 months,Family,2-3,,,,,,
Delhi,Past 3 months,Family,3-4,,,,,,
Delhi,Past 3 months,Family,4-5,,,,,,
Delhi,Past 3 months,Friends,0-1,,3.31,4.20,4.00,,
Delhi,Past 3 months,Friends,1-2,,,,,,
Delhi,Past 3 months,Friends,2-3,,,,,,
Delhi,Past 3 months,Friends,3-4,,,,,,
Delhi,Past 3 months,Friends,4-5,,,,,,
Delhi,Past 3 months,Solo,0-1,,3.25,4.28,3.95,,
Delhi,Past 3 months,Solo,1-2,,,,,,
Delhi,Past 3 months,Solo,2-3,,,,,,
Delhi,Past 3 months,Solo,3-4,,,,,,
Delhi,Past 3 months,Solo,4-5,,,,,,
Delhi,Past 3 months,Family,0-1,,3.24,4.12,3.82,,
Delhi,Past 3 months,Family,1-2,,,,,,
Delhi,Past 3 months,Family,2-3,,,,,,
Delhi,Past 3 months,Family,3-4,,,,,,
Delhi,Past 3 months,Family,4-5,,,,,,
Delhi,Past 3 months,Other,0-1,,3.51,4.48,3.91,,
Delhi,Past 3 months,Other,1-2,,,,,,
Delhi,Past 3 months,Other,2-3,,,,,,
Delhi,Past 3 months,Other,3-4,,,,,,
Delhi,Past 6 months,Family,4-5,,,,,,
Delhi,Past 6 months,Family,0-1,,3.38,4.09,3.92,,
Delhi,Past 6 months,Family,1-2,,,,,,
Delhi,Past 6 months,Family,2-3,,,,,,
Delhi,Past 6 months,Family,3-4,,,,,,
Delhi,Past 6 months,Friends,4-5,,,,,,
Delhi,Past 6 months,Friends,0-1,,3.51,4.12,4.07,,
Delhi,Past 6 months,Friends,1-2,,,,,,
Delhi,Past 6 months,Friends,2-3,,,,,,
Delhi,Past 6 months,Friends,3-4,,,,,,
Delhi,Past 6 months,Solo,4-5,,,,,,
Delhi,Past 6 months,Solo,0-1,,3.53,4.63,4.09,,
Delhi,Past 6 months,Solo,1-2,,,,,,
Delhi,Past 6 months,Solo,2-3,,,,,,
Delhi,Past 6 months,Solo,3-4,,,,,,
Delhi,Past 6 months,Family,4-5,,,,,,
Delhi,Past 6 months,Family,0-1,,3.11,4.39,3.24,,
Delhi,Past 6 months,Family,1-2,,,,,,
Delhi,Past 6 months,Family,2-3,,,,,,
Delhi,Past 6 months,Family,3-4,,,,,,
Delhi,Past 6 months,Other,4-5,,,,,,
Delhi,Past 6 months,Other,0-1,,3.39,4.79,3.64,,
Delhi,Past 6 months,Other,1-2,,,,,,
Delhi,Past 6 months,Other,2-3,,,,,,
Delhi,Past 6 months,Other,3-4,,,,,,
Delhi,Past 1 year,Family,4-5,,,,,,
Delhi,Past 1 year,Family,0-1,,3.32,4.54,3.78,,
Delhi,Past 1 year,Family,1-2,,,,,,
Delhi,Past 1 year,Family,2-3,,,,,,
Delhi,Past 1 year,Family,3-4,,,,,,
Delhi,Past 1 year,Friends,4-5,,,,,,
Delhi,Past 1 year,Friends,0-1,,3.20,3.89,3.90,,
Delhi,Past 1 year,Friends,1-2,,,,,,
Delhi,Past 1 year,Friends,2-3,,,,,,
Delhi,Past 1 year,Friends,3-4,,,,,,
Delhi,Past 1 year,Solo,4-5,,,,,,
Delhi,Past 1 year,Solo,0-1,,3.44,4.71,4.01,,
Delhi,Past 1 year,Solo,1-2,,,,,,
Delhi,Past 1 year,Solo,2-3,,,,,,
Delhi,Past 1 year,Solo,3-4,,,,,,
Delhi,Past 1 year,Family,4-5,,,,,,
Delhi,Past 1 year,Family,0-1,,3.31,4.52,3.81,,
Delhi,Past 1 year,Family,1-2,,,,,,
Delhi,Past 1 year,Family,2-3,,,,,,
Delhi,Past 1 year,Family,3-4,,,,,,
Delhi,Past 1 year,Other,4-5,,,,,,
Delhi,Past 1 year,Other,0-1,,3.42,4.55,3.78,,
Delhi,Past 1 year,Other,1-2,,,,,,
Delhi,Past 1 year,Other,2-3,,,,,,
Delhi,Past 1 year,Other,3-4,,,,,,
Delhi,Past 3 years,Family,4-5,,,,,,
Delhi,Past 3 years,Family,0-1,,3.47,4.62,3.93,,
Delhi,Past 3 years,Family,1-2,,,,,,
Delhi,Past 3 years,Family,2-3,,,,,,
Delhi,Past 3 years,Family,3-4,,,,,,
Delhi,Past 3 years,Friends,4-5,,,,,,
Delhi,Past 3 years,Friends,0-1,,3.55,4.37,3.62,,
Delhi,Past 3 years,Friends,1-2,,,,,,
Delhi,Past 3 years,Friends,2-3,,,,,,
Delhi,Past 3 years,Friends,3-4,,,,,,
Delhi,Past 3 years,Solo,4-5,,,,,,
Delhi,Past 3 years,Solo,0-1,,3.37,4.67,4.10,,
Delhi,Past 3 years,Solo,1-2,,,,,,
Delhi,Past 3 years,Solo,2-3,,,,,,
Delhi,Past 3 years,Solo,3-4,,,,,,
Delhi,Past 3 years,Family,4-5,,,,,,
Delhi,Past 3 years,Family,0-1,,3.31,4.51,3.43,,
Delhi,Past 3 years,Family,1-2,,,,,,
Delhi,Past 3 years,Family,2-3,,,,,,
Delhi,Past 3 years,Family,3-4,,,,,,
Delhi,Past 3 years,Other,4-5,,,,,,
Delhi,Past 3 years,Other,0-1,,3.40,5.06,3.77,,
Delhi,Past 3 years,Other,1-2,,,,,,
Delhi,Past 3 years,Other,2-3,,,,,,
Delhi,Past 3 years,Other,3-4,,,,,,
Delhi,Past 5 years,Family,4-5,,,,,,
Delhi,Past 5 years,Family,0-1,,3.77,4.40,4.02,,
Delhi,Past 5 years,Family,1-2,,,,,,
Delhi,Past 5 years,Family,2-3,,,,,,
Delhi,Past 5 years,Family,3-4,,,,,,
Delhi,Past 5 years,Friends,4-5,,,,,,
Delhi,Past 5 years,Friends,0-1,,3.58,4.51,3.95,,
Delhi,Past 5 years,Friends,1-2,,,,,,
Delhi,Past 5 years,Friends,2-3,,,,,,
Delhi,Past 5 years,Friends,3-4,,,,,,
Delhi,Past 5 years,Solo,4-5,,,,,,
Delhi,Past 5 years,Solo,0-1,,3.10,4.32,3.78,,
Delhi,Past 5 years,Solo,1-2,,,,,,
Delhi,Past 5 years,Solo,2-3,,,,,,
Delhi,Past 5 years,Solo,3-4,,,,,,
Delhi,Past 5 years,Family,4-5,,,,,,
Delhi,Past 5 years,Family,0-1,,3.25,4.83,3.61,,
Delhi,Past 5 years,Family,1-2,,,,,,
Delhi,Past 5 years,Family,2-3,,,,,,
Delhi,Past 5 years,Family,3-4,,,,,,
Delhi,Past 5 years,Other,4-5,,,,,,
Delhi,Past 5 years,Other,0-1,,3.48,4.27,4.25,,
Delhi,Past 5 years,Other,1-2,,,,,,
Delhi,Past 5 years,Other,2-3,,,,,,
Delhi,Past 5 years,Other,3-4,,,,,,
Delhi,Past 5 years,Other,4-5,,,,,,
Delhi,All Time,Family,0-1,,3.66,4.48,3.45,,
Delhi,All Time,Family,1-2,,,,,,
Delhi,All Time,Family,2-3,,,,,,
Delhi,All Time,Family,3-4,,,,,,
Delhi,All Time,Family,4-5,,,,,,
Delhi,All Time,Friends,0-1,,3.45,4.23,3.92,,
Delhi,All Time,Friends,1-2,,,,,,
Delhi,All Time,Friends,2-3,,,,,,
Delhi,All Time,Friends,3-4,,,,,,
Delhi,All Time,Friends,4-5,,,,,,
Delhi,All Time,Solo,0-1,,3.33,4.63,4.13,,
Delhi,All Time,Solo,1-2,,,,,,
Delhi,All Time,Solo,2-3,,,,,,
Delhi,All Time,Solo,3-4,,,,,,
Delhi,All Time,Solo,4-5,,,,,,
Delhi,All Time,Family,0-1,,3.00,4.78,3.89,,
Delhi,All Time,Family,1-2,,,,,,
Delhi,All Time,Family,2-3,,,,,,
Delhi,All Time,Family,3-4,,,,,,
Delhi,All Time,Family,4-5,,,,,,
Delhi,All Time,Other,0-1,,3.17,4.70,3.87,,
Delhi,All Time,Other,1-2,,,,,,
Delhi,All Time,Other,2-3,,,,,,
Delhi,All Time,Other,3-4,,,,,,
Delhi,All Time,Other,4-5,,,,,,
Chennai,Past 3 months,Family,0-1,,2.93,4.84,3.87,,
Chennai,Past 3 months,Family,1-2,,,,,,
Chennai,Past 3 months,Family,2-3,,,,,,
Chennai,Past 3 months,Family,3-4,,,,,,
Chennai,Past 3 months,Family,4-5,,,,,,
Chennai,Past 3 months,Friends,0-1,,3.19,4.29,4.31,,
Chennai,Past 3 months,Friends,1-2,,,,,,
Chennai,Past 3 months,Friends,2-3,,,,,,
Chennai,Past 3 months,Friends,3-4,,,,,,
Chennai,Past 3 months,Friends,4-5,,,,,,
Chennai,Past 3 months,Solo,0-1,,3.12,4.39,3.39,,
Chennai,Past 3 months,Solo,1-2,,,,,,
Chennai,Past 3 months,Solo,2-3,,,,,,
Chennai,Past 3 months,Solo,3-4,,,,,,
Chennai,Past 3 months,Solo,4-5,,,,,,
Chennai,Past 3 months,Family,0-1,,3.59,4.27,3.88,,
Chennai,Past 3 months,Family,1-2,,,,,,
Chennai,Past 3 months,Family,2-3,,,,,,
Chennai,Past 3 months,Family,3-4,,,,,,
Chennai,Past 3 months,Family,4-5,,,,,,
Chennai,Past 3 months,Other,0-1,,3.77,4.57,3.76,,
Chennai,Past 3 months,Other,1-2,,,,,,
Chennai,Past 3 months,Other,2-3,,,,,,
Chennai,Past 3 months,Other,3-4,,,,,,
Chennai,Past 6 months,Family,4-5,,,,,,
Chennai,Past 6 months,Family,0-1,,3.15,4.31,4.00,,
Chennai,Past 6 months,Family,1-2,,,,,,
Chennai,Past 6 months,Family,2-3,,,,,,
Chennai,Past 6 months,Family,3-4,,,,,,
Chennai,Past 6 months,Friends,4-5,,,,,,
Chennai,Past 6 months,Friends,0-1,,3.83,4.00,4.09,,
Chennai,Past 6 months,Friends,1-2,,,,,,
Chennai,Past 6 months,Friends,2-3,,,,,,
Chennai,Past 6 months,Friends,3-4,,,,,,
Chennai,Past 6 months,Solo,4-5,,,,,,
Chennai,Past 6 months,Solo,0-1,,3.61,4.63,3.95,,
Chennai,Past 6 months,Solo,1-2,,,,,,
Chennai,Past 6 months,Solo,2-3,,,,,,
Chennai,Past 6 months,Solo,3-4,,,,,,
Chennai,Past 6 months,Family,4-5,,,,,,
Chennai,Past 6 months,Family,0-1,,3.20,4.64,3.55,,
Chennai,Past 6 months,Family,1-2,,,,,,
