,City,Attraction,Summarised Review,Compound Sentiment,Normalised Sentiment,Mean Rating
0,Hyderabad_Hyderabad_District_Telangana,Ramoji_Film_City,the star experience didn't feel worth the money and i would have been better off with a regular ticket and planning the day myself . since i am an Indian Hindu my family has some traditions .,0.3036,4,4.24
1,Hyderabad_Hyderabad_District_Telangana,Golconda_Fort,the old (800+ years old) decorative carving showing the connection to what is now called Iran was incredible . the age of the fort is comparable to the early Norman kings of England - i had no idea that buildings like this existed in India .,0.0772,3,4.46
2,Hyderabad_Hyderabad_District_Telangana,Birla_Mandir,"the temple is really beautiful and has a nice night view of the city . mobiles are not allowed inside, but you can leave it in the cloak room .",0.4933,4,4.61
3,Hyderabad_Hyderabad_District_Telangana,Salar_Jung_Museum,this was my third visit to this place and every time it amazes me to see the great collection of artefacts . need to spend around 2 hours inside if you are a casual visitor .,0.8442,5,4.36
4,Hyderabad_Hyderabad_District_Telangana,Taj_Falaknuma_Palace,a souvenir shop in the palace which needs an improvement from collection and pricing perspective (collection is not that great and pricing is on the higher side) . we were offered free mocktails(sugar laden coloured water) and free desserts .,0.7435,5,4.7
5,Hyderabad_Hyderabad_District_Telangana,Charminar,charminar is famous for many things but is most known for the lip smacking dishes and great bargain shopping . the area around the monument is just like any old city area in india eg old Delhi/Chandani Chowk .,0.9022,5,3.95
6,Hyderabad_Hyderabad_District_Telangana,Chilkur_Balaji_Temple,"temple opens at 5am so if you are planning plan early in the morning and avoid weekend as there will be so many devotees and sometimes it takes more than few hours . temple is silent, peaceful, calm and serene .",0.7951,5,4.61
7,Hyderabad_Hyderabad_District_Telangana,Chowmahalla_Palace,"the former residence of Nizam,once the richest person on earth still very unmaintained,needs to do lots of efforts to maintain and refurbish . it's well preserved palace and kept pretty well .",0.8689,5,4.38
8,Hyderabad_Hyderabad_District_Telangana,Shri_Jagannath_Temple,"the main temple houses Lord Jagannath along with his siblings, Lord Balabhadra and Devi Subhadra . parking is very much available and the great time to visit is in the evenings where the Temple has a beautiful view .",0.8402,5,4.69
9,Hyderabad_Hyderabad_District_Telangana,Nehru_Zoological_Park,"if you landed in HYDRABAD, you can add this zoo to your **visiting list** . all animals are kept in natural settings, though sometimes a little small .",0.3612,4,4.12
